Site Link,WCAG2A,WCAG2A failc,WCAG2AA,wc2fc,WCAG2AAA,wc3afc,Indian Guideline,igcount
http://www.du.ac.in/,29.8,,?,,71.43,10,?,
https://registry.gov.in/faq.php,82.5,,78.57,6,?,,72.73,6
https://www.mha.gov.in/,88.24,,85.71,4,82.86,6,81.82,4
https://www.india.gov.in/,76.47,,78.57,6,74.29,9,72.73,6
https://ugadmission.uod.ac.in/,88.24,,89.29,3,88.57,4,86.36,3
https://www.mirandahouse.ac.in/,64.71,,71.43,8,68.57,11,63.64,8
https://home.iitd.ac.in/,70.59,5,75,7,74.29,9,68.18,7
http://www.ignou.ac.in/,?,,78.57,6,68.57,,72.73,6
http://maitreyi.ac.in/,?,,71.43,8,68.57,11,63.64,8
https://www.sasi.ac.in/,88.24,2,85.71,4,?,,81.82,4
https://www.jmi.ac.in/,29.8,,78.57,6,74.29,9,72.73,6
https://www.ugc.ac.in/,29.8,,?,,?,,?,
https://www.amu.ac.in/,29.8,,78.57,6,?,,?,
http://www.ipu.ac.in/,?,,78.57,6,?,,?,
https://nta.ac.in/,76.47,4,75,7,71.43,10,72.73,6
https://www.upes.ac.in/,70.59,5,71.43,8,71.43,10,68.18,7
https://www.sharda.ac.in/,70.59,5,100,0,100,0,100,0
https://www.jiit.ac.in/,82.35,3,78.57,6,74.29,9,72.73,6
https://aktu.ac.in/,?,,?,,74.29,9,?,
https://vit.ac.in/,70.59,5,75,7,71.43,10,68.18,7
https://www.jnu.ac.in/,70.59,5,82.14,5,?,,77.27,5
https://aryabhattacollege.ac.in/,58.82,7,67.86,9,65.71,12,?,
https://raiganjuniversity.ac.in/,76.47,4,78.57,6,74.29,9,72.73,6
https://vnit.ac.in,?,,78.57,6,74.29,9,72.73,6
https://pec.ac.in/,70.59,5,78.57,6,74.29,9,,
https://uktech.ac.in/,70.59,5,75,7,71.43,10,,
http://csjmu.ac.in/,?,,?,,77.14,8,?,
https://cusat.ac.in/,76.47,4,78.57,6,74.29,9,72.73,6
http://www.vidyasagar.ac.in/,88.24,2,89.29,3,88.57,4,86.36,3
