Site Link,WCAG2A,WCAG2AA,WCAG2AAA,Indian Guidelines
http://www.du.ac.in/,30,30,35.9,37.84
https://registry.gov.in/faq.php,43.33,42,47.44,51.35
https://www.mha.gov.in/,43.33,44,48.72,40.54
https://www.india.gov.in/,36.67,34,38.46,37.84
https://ugadmission.uod.ac.in/,33.33,32,39.74,43.24
https://www.mirandahouse.ac.in/,36.67,40,43.59,45.95
https://home.iitd.ac.in/,23.33,26,35.9,32.43
http://www.ignou.ac.in/,26.67,28,34.62,32.43
http://maitreyi.ac.in/,26.67,28,35.9,35.14
https://www.sasi.ac.in/,36.67,34,38.46,40.54
https://www.jmi.ac.in/,30,30,37.18,35.14
https://www.ugc.ac.in/,26.67,28,34.62,35.14
https://www.amu.ac.in/,30,32,38.46,40.54
http://www.ipu.ac.in/,23.33,26,34.62,35.14
https://nta.ac.in/,26.67,28,35.9,35.14
https://www.upes.ac.in/,30,28,35.9,35.14
https://www.sharda.ac.in/,13.33,18,25.64,67.57
https://www.jiit.ac.in/,40,36,41.03,40.54
https://aktu.ac.in/,33.33,38,43.59,32.43
https://vit.ac.in/,33.33,32,37.18,37.84
https://www.jnu.ac.in/,30,30,38.46,35.14
https://aryabhattacollege.ac.in/,23.33,58,58.97,32.43
https://raiganjuniversity.ac.in/,40,42,39.75,48.65
https://vnit.ac.in,30,30,37.18,0
https://pec.ac.in/,30,28,35.9,43.24
https://uktech.ac.in/,43.33,30,38.46,37.84
http://csjmu.ac.in/,36.67,4,43.59,45.95
https://cusat.ac.in/,43.33,44,46.15,48.65
http://www.vidyasagar.ac.in/,33.33,32,38.46,0
https://www.purneauniversity.ac.in/,40,42,46.15,48.65
https://www.aiu.ac.in/,36.67,40,43.59,35.14
https://nagalanduniversity.ac.in/,36.67,34,39.74,40.54
https://www.manipuruniv.ac.in/,43.33,44,47.44,51.35
https://www.vbu.ac.in/,56.67,58,58.97,43.24
https://gecgudlavalleru.ac.in/,36.67,40,44.87,45.95
https://silveroakuni.ac.in/,23.33,28,32.05,35.14
https://www.vssut.ac.in/,33.33,32,38.46,40.54
https://www.kunainital.ac.in/,30,30,37.18,35.14
https://www.bhu.ac.in/,30,34,39.74,45.95
https://www.invertisuniversity.ac.in/,36.67,38,43.59,43.24
https://gecgudlavalleru.ac.in/,36.67,40,44.87,45.95
https://buruniv.ac.in/,43.33,44,46.15,51.35
https://www.rgpv.ac.in/,23.33,26,34.62,32.43
https://www.nitrkl.ac.in/,30,34,41.03,40.54
http://sliet.ac.in/,23.33,26,37.18,35.14
https://mjpru.ac.in/,53.33,52,55.13,32.43
https://www.presiuniv.ac.in/,33.33,32,37.18,40.54
https://mkuniversity.ac.in/,56.67,58,58.97,32.43
https://www.jammuuniversity.ac.in/,33.33,32,38.46,40.54
https://www.unigoa.ac.in/,26.67,28,37.18,35.14
https://www.jainuniversity.ac.in/,36.67,40,44.87,45.95
https://caluniv.ac.in/,56.67,56,57.69,51.35
http://www.rvrjcce.ac.in/,23.33,30,33.33,35.14
https://www.mungeruniversity.ac.in/,23.33,26,33.33,32.43
http://www.iitkgp.ac.in/,40,42,46.15,48.65
http://www.zakirhusaindelhicollege.ac.in/,30,30,38.46,35.14
https://www.sathyabama.ac.in/,30,30,38.46,35.14
https://www.bfuhs.ac.in/,43.33,44,47.44,48.65
https://www.gjust.ac.in/,56.67,58,58.97,48.65
https://cuet.samarth.ac.in/,46.67,46,48.72,62.16
https://astu.ac.in/,33.33,32,37.18,37.84
https://kru.ac.in/,16.67,20,25.64,27.03
http://www.jsrwomenscollege.ac.in/,30,30,37.18,37.84
https://nptel.ac.in/,60,60,60.26,48.65
https://shekhauni.ac.in/,23.33,26,34.62,32.43
https://admissions.keralauniversity.ac.in/,46.67,46,47.44,54.05
https://www.vssut.ac.in/,33.33,32,38.46,40.54
https://nith.ac.in/,56.67,58,58.97,48.65
https://kiit.ac.in/,33.33,,,40.54
https://www.ranchiuniversity.ac.in/,46.67,46,48.72,0
http://www.manit.ac.in/,26.67,28,35.9,0
https://puchd.ac.in/,43.33,44,48.72,0
https://aud.ac.in/,30,30,38.46,40.54
https://www.kuk.ac.in/,23.33,26,33.33,32.43
https://nirmauni.ac.in/,16.67,20,26.92,27.03
https://online.gndu.ac.in/,16.67,22,29.49,27.03
https://www.iitm.ac.in/,,,,54.05
https://msubaroda.ac.in/,13.33,18,25.64,21.62
https://www.mgu.ac.in/,33.33,32,38.46,40.54
http://www.uecu.ac.in/,26.67,28,34.62,35.14
https://unigug.ac.in/,33.33,46,41.03,43.24
https://www.bput.ac.in/,43.33,44,46.15,51.35
http://www.ideunom.ac.in/,36.67,40,44.87,45.95
https://www.ganpatuniversity.ac.in/,30,30,35.9,37.84
http://www.telanganauniversity.ac.in/,30,30,37.18,0
https://uou.ac.in/,37.18,34,39.74,40.54
https://www.bits-pilani.ac.in/,30,30,37.18,37.84
https://vsu.ac.in/,36.67,40,44.87,45.95
https://azimpremjiuniversity.edu.in/,33.33,32,38.46,40.54
http://www.jaduniv.edu.in/,26.67,28,35.9,35.14
https://www.pondiuni.edu.in/,43.13,44,42.31,51.35
https://www.sid.edu.in/,30,30,35.9,37.84
https://www.bennett.edu.in/,30,30,37.18,35.14
https://nalandauniv.edu.in/,26.67,28,35.9,32.43
https://americancollege.edu.in/,33.33,36,37.18,43.24
https://sru.edu.in/,30,30,37.18,35.14
https://www.sitpune.edu.in/,30,30,35.9,37.84
http://islamiacollege.edu.in/,13.13,18,25.64,21.62
https://aecwb.edu.in/,36.67,38,43.59,45.95
https://www.symbiosiscollege.edu.in/,43.33,44,46.15,48.65
https://www.siu.edu.in/,26.67,28,34.62,35.14
https://www.natboard.edu.in/,36.67,40,44.87,45.95
https://www.chitkara.edu.in/,26.67,28,34.62,32.43
https://plaksha.edu.in/,40,42,44.87,45.95
https://sabarmatiuniversity.edu.in/,40,4,43.59,48.65
https://ignouadmission.samarth.edu.in/,36.67,34,39.74,43.24
https://www.andhrauniversity.edu.in/,36.67,38,42.31,43.24
https://aec.edu.in/,36.67,40,43.59,45.95
https://kccollege.edu.in/,33.33,32,30.77,37.84
https://www.senateofseramporecollege.edu.in/,26.67,28,29.49,35.14
https://www.reva.edu.in/,23.33,24,29.49,29.73
https://snu.edu.in/,43.33,44,47.44,54.05
https://www.srmist.edu.in/,26.67,24,35.9,62.16
https://www.dituniversity.edu.in/,13.33,18,35.9,21.62
https://www.adityatekkali.edu.in/,26.67,28,35.9,35.14
http://pkuniversity.edu.in/,,,,51.35
https://www.nowgongcollege.edu.in/,46.67,10,47.44,51.35
https://www.sandipuniversity.edu.in/,30,30,37.18,37.84
http://www.jsu.edu.in/,30,30,37.18,37.84
https://www.galgotiasuniversity.edu.in/,33.33,32,38.46,0
https://srisriuniversity.edu.in/,30,30,35.9,0
https://www.dsu.edu.in/,33.33,32,34.62,32.43
https://www.bvuniversity.edu.in/,26.67,28,35.9,35.14
https://baou.edu.in/,9,15,29,0
https://www.veltech.edu.in/,,,,45.95
https://www.basantidevicollege.edu.in/,40,21,35,48.65
https://www.bhabhauniversity.edu.in/,43.33,10,47.44,51.35
https://www.bitsom.edu.in/,26.67,32,35.9,62.16
https://ahduni.edu.in/,26.67,32,35.9,35.14
https://www.flame.edu.in/,30,30,37.18,37.84
http://bhc.edu.in/,30,36,41.03,24.32
https://sathayecollege.edu.in/,36.67,34,33.3,43.24
https://www.tvu.edu.in/,30,30,34.62,37.84
https://www.mahindrauniversity.edu.in/,36.67,34,39.74,0
https://anurag.edu.in/,33.33,32,30.77,40.54
https://mcc.edu.in/,33.33,32,37.18,40.54
https://www.cmr.edu.in/,23.33,30,35.9,35.14
https://mzu.edu.in/,30,30,37.18,37.84
https://www.gita.edu.in/,43.33,44,47.44,35.14
https://krea.edu.in/  **,26.67,28,34.62,43.24
https://egov.uok.edu.in/,46.67,46,50,56.76
https://www.glocaluniversity.edu.in/,33.33,32,38.46,35.14
https://opjsuniversity.edu.in/,20,22,28.21,29.73
https://ethirajcollege.edu.in/,36.67,34,38.46,37.84
http://www.siesascs.edu.in/,33.33,38,42.31,0
https://woxsen.edu.in/,4,20,28.21,21.62
https://www.ictmumbai.edu.in/,26.67,28,35.9,35.14
https://universalcollegeofengineering.edu.in/,40,40,43.59,48.65
https://ssit.edu.in/,36.67,40,46.15,48.65
https://assumptioncollege.edu.in/,26.67,28,29.49,35.14
https://www.aknu.edu.in/,,,,0
https://www.vhnsnc.edu.in/,40,40,46.15,48.65
https://sairam.edu.in/,26.67,28,28.21,35.14
https://nnrg.edu.in/,43.33,44,47.44,48.65
https://mitwpu.edu.in/,46.67,46,43.59,0
https://thenewcollege.edu.in/,26.67,28,35.9,35.14
https://kristujayanti.edu.in/,36.67,40,43.59,35.14
https://www.rvce.edu.in/,46.67,46,50,48.65
https://nbe.edu.in/,43.33,44,48.71,48.65
https://www.gnauniversity.edu.in/,36.67,40,39.74,0
https://queenmaryscollege.edu.in/,40,42,46.15,45.95
https://shivalikcollege.edu.in/,36.67,34,38.46,35.14
http://www.rizvicollege.edu.in/,43.33,46.15,46.15,51.35
https://www.mckvie.edu.in/,33.33,32,37.18,40.54
https://www.universityoftechnology.edu.in/,33.33,36,42.31,43.24
https://upmsp.edu.in/,26.67,28,35.9,35.14
https://www.sssihl.edu.in/,33.33,32,30.77,40.54
https://aot.edu.in/,30,30,29.49,35.14
https://gcesalem.edu.in/,36.67,34,39.74,43.24
https://adypu.edu.in/,20,22,20.51,27.03
